注文ID,注文日,顧客ID,商品ID,商品名,カテゴリ,単価,数量,小計,割引率,割引額,売上金額,地域,支払方法
ORD00001,2024-03-02,C0168,P001,ノートPC,電子機器,120000,2,240000,0,0,240000,京都,代引き
ORD00002,2024-09-24,C0381,P009,タブレット,電子機器,50000,3,150000,0,0,150000,名古屋,代引き
ORD00003,2024-03-01,C0279,P001,ノートPC,電子機器,120000,3,360000,5,18000,342000,大阪,代引き
ORD00004,2024-12-30,C0509,P010,スマートフォン,電子機器,80000,3,240000,0,0,240000,京都,代引き
ORD00005,2024-01-29,C0377,P008,スキャナー,周辺機器,20000,3,60000,0,0,60000,名古屋,代引き
ORD00006,2024-02-22,C0234,P010,スマートフォン,電子機器,80000,3,240000,0,0,240000,東京,クレジットカード
ORD00007,2024-01-07,C0373,P004,マウス,周辺機器,3000,1,3000,5,150,2850,広島,銀行振込
ORD00008,2024-04-01,C0230,P001,ノートPC,電子機器,120000,5,600000,5,30000,570000,仙台,銀行振込
ORD00009,2024-08-01,C0586,P006,外付けHDD,記憶媒体,10000,2,20000,0,0,20000,仙台,クレジットカード
ORD00010,2024-09-14,C0824,P001,ノートPC,電子機器,120000,2,240000,0,0,240000,東京,コンビニ払い
ORD00011,2024-02-05,C0336,P008,スキャナー,周辺機器,20000,2,40000,0,0,40000,大阪,コンビニ払い
ORD00012,2024-01-05,C0578,P006,外付けHDD,記憶媒体,10000,1,10000,0,0,10000,札幌,銀行振込
ORD00013,2024-08-25,C0792,P006,外付けHDD,記憶媒体,10000,3,30000,5,1500,28500,福岡,銀行振込
ORD00014,2024-03-18,C0239,P001,ノートPC,電子機器,120000,4,480000,0,0,480000,仙台,クレジットカード
ORD00015,2024-06-20,C0870,P001,ノートPC,電子機器,120000,3,360000,5,18000,342000,札幌,クレジットカード
ORD00016,2024-04-15,C0504,P009,タブレット,電子機器,50000,2,100000,5,5000,95000,東京,銀行振込
ORD00017,2024-12-30,C0944,P005,USBメモリ,記憶媒体,2000,1,2000,0,0,2000,福岡,コンビニ払い
ORD00018,2024-12-24,C0595,P006,外付けHDD,記憶媒体,10000,2,20000,0,0,20000,大阪,銀行振込
ORD00019,2024-11-22,C0582,P007,プリンター,周辺機器,25000,1,25000,10,2500,22500,東京,コンビニ払い
ORD00020,2024-12-05,C0268,P003,キーボード,周辺機器,8000,1,8000,10,800,7200,仙台,コンビニ払い
ORD00021,2024-12-24,C0279,P006,外付けHDD,記憶媒体,10000,2,20000,15,3000,17000,福岡,クレジットカード
ORD00022,2024-04-13,C0160,P003,キーボード,周辺機器,8000,3,24000,0,0,24000,大阪,銀行振込
ORD00023,2024-08-18,C0124,P008,スキャナー,周辺機器,20000,2,40000,5,2000,38000,仙台,銀行振込
ORD00024,2024-08-19,C0873,P005,USBメモリ,記憶媒体,2000,2,4000,0,0,4000,大阪,クレジットカード
ORD00025,2024-03-21,C0042,P005,USBメモリ,記憶媒体,2000,3,6000,10,600,5400,福岡,代引き
ORD00026,2024-03-16,C0406,P002,モニター,電子機器,35000,2,70000,0,0,70000,東京,代引き
ORD00027,2024-05-13,C0876,P003,キーボード,周辺機器,8000,1,8000,5,400,7600,京都,銀行振込
ORD00028,2024-02-18,C0125,P008,スキャナー,周辺機器,20000,1,20000,0,0,20000,東京,クレジットカード
ORD00029,2024-04-23,C0382,P003,キーボード,周辺機器,8000,1,8000,5,400,7600,大阪,代引き
ORD00030,2024-02-08,C0925,P001,ノートPC,電子機器,120000,1,120000,0,0,120000,京都,銀行振込
ORD00031,2024-02-17,C0965,P006,外付けHDD,記憶媒体,10000,1,10000,0,0,10000,京都,クレジットカード
ORD00032,2024-03-27,C0509,P010,スマートフォン,電子機器,80000,4,320000,5,16000,304000,東京,コンビニ払い
ORD00033,2024-12-15,C0220,P007,プリンター,周辺機器,25000,1,25000,10,2500,22500,名古屋,代引き
ORD00034,2024-05-23,C0629,P008,スキャナー,周辺機器,20000,1,20000,0,0,20000,福岡,代引き
ORD00035,2024-09-12,C0063,P007,プリンター,周辺機器,25000,3,75000,5,3750,71250,大阪,代引き
ORD00036,2024-07-15,C0659,P003,キーボード,周辺機器,8000,2,16000,5,800,15200,福岡,クレジットカード
ORD00037,2024-07-14,C0801,P006,外付けHDD,記憶媒体,10000,2,20000,20,4000,16000,京都,代引き
ORD00038,2024-10-16,C0277,P009,タブレット,電子機器,50000,3,150000,5,7500,142500,名古屋,クレジットカード
ORD00039,2024-06-12,C0918,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,札幌,クレジットカード
ORD00040,2024-08-29,C0239,P009,タブレット,電子機器,50000,2,100000,10,10000,90000,名古屋,クレジットカード
ORD00041,2024-05-06,C0836,P004,マウス,周辺機器,3000,2,6000,10,600,5400,東京,銀行振込
ORD00042,2024-10-21,C0181,P007,プリンター,周辺機器,25000,2,50000,0,0,50000,福岡,代引き
ORD00043,2024-12-23,C0721,P006,外付けHDD,記憶媒体,10000,3,30000,0,0,30000,仙台,銀行振込
ORD00044,2024-10-15,C0317,P004,マウス,周辺機器,3000,2,6000,10,600,5400,名古屋,コンビニ払い
ORD00045,2024-01-20,C0617,P002,モニター,電子機器,35000,1,35000,0,0,35000,福岡,クレジットカード
ORD00046,2024-09-26,C0940,P008,スキャナー,周辺機器,20000,1,20000,0,0,20000,福岡,銀行振込
ORD00047,2024-06-23,C0023,P003,キーボード,周辺機器,8000,2,16000,0,0,16000,名古屋,銀行振込
ORD00048,2024-02-26,C0383,P009,タブレット,電子機器,50000,2,100000,0,0,100000,広島,クレジットカード
ORD00049,2024-06-21,C1000,P005,USBメモリ,記憶媒体,2000,2,4000,0,0,4000,名古屋,コンビニ払い
ORD00050,2024-11-23,C0179,P008,スキャナー,周辺機器,20000,3,60000,0,0,60000,仙台,銀行振込
ORD00051,2024-12-06,C0315,P010,スマートフォン,電子機器,80000,1,80000,15,12000,68000,札幌,銀行振込
ORD00052,2024-03-31,C0872,P001,ノートPC,電子機器,120000,5,600000,5,30000,570000,東京,銀行振込
ORD00053,2024-11-04,C0655,P006,外付けHDD,記憶媒体,10000,3,30000,0,0,30000,大阪,コンビニ払い
